# Pack: @|atlasId|family|file|generatorOutputId|generatedAtUTC|promptId
# Sprite: key|labelEN|labelVI|aliasesEN(;)|aliasesVI(;)|visualDescriptionEN|topicTags(;)|renderRole|confusableWith(;)|intendedUse
@|topic-science-technology-v1|science-technology|science-technology-atlas-v1.png|exec-727c14a9-e460-4efc-becd-04f16a3e5bf6.png|2026-09-17T07:55:31Z|science-technology-flat2d-transparent-atlas-v1
dinosaur-footprint|Dinosaur footprint fossil|Dấu chân hóa thạch khủng long|dinosaur footprint;dinosaur track;fossil|dấu chân khủng long;vết chân khủng long;hóa thạch|Three-toed footprint in a tan fossil stone; no dinosaur body.|dinosaur;prehistoric;fossil;footprint|PROP|animal paw print;handprint|topic supplement; preserve original child art
@|topic-farm-animals-v1|farm-animals|farm-animals-atlas-v1.png|exec-553b5825-882a-4da1-9410-b341a8a52dfe.png|2026-09-17T07:57:33Z|farm-animals-flat2d-transparent-atlas-v1
cow|Cow|Bò|cow;cattle;farm animal|bò;con bò;vật nuôi nông trại|Friendly black-and-white bovine with horns four legs and a pink muzzle.|animal;farm;livestock;mammal|SUBJECT|bull;goat|topic supplement; preserve original child art
pig|Pig|Lợn|pig;piglet;farm animal|lợn;heo;con lợn;vật nuôi nông trại|Round pink pig with a round snout small ears and curled tail.|animal;farm;livestock;mammal|SUBJECT|boar;hippopotamus|topic supplement; preserve original child art
sheep|Sheep|Cừu|sheep;lamb;farm animal|cừu;con cừu;cừu con;vật nuôi nông trại|White woolly sheep with a small tan face and four short legs.|animal;farm;livestock;mammal;wool|SUBJECT|goat;cloud|topic supplement; preserve original child art
horse|Horse|Ngựa|horse;pony;farm animal|ngựa;ngựa con;vật nuôi nông trại|Brown horse with a dark mane and tail standing on four legs.|animal;farm;livestock;mammal;riding|SUBJECT|zebra;donkey|topic supplement; preserve original child art
hen-chick|Hen and chick|Gà mái và gà con|hen;chicken;chick;farm bird|gà mái;gà;gà con;gia cầm|One red-combed hen beside one small yellow chick.|animal;farm;bird;poultry;family|SUBJECT|rooster;duck|topic supplement; preserve original child art
duck|Duck|Vịt|duck;duckling;farm bird|vịt;con vịt;vịt con;gia cầm|Yellow duck with a broad orange bill and webbed feet.|animal;farm;bird;poultry;water|SUBJECT|chick;goose|topic supplement; preserve original child art
@|topic-wild-animals-v1|wild-animals|wild-animals-atlas-v1.png|exec-d449966f-0f64-4f91-9743-5cfe9f4bd968.png|2026-09-17T07:58:23Z|wild-animals-flat2d-transparent-atlas-v1
elephant|Elephant|Voi|elephant;wild animal|voi;con voi;thú hoang|Gray elephant with a long curved trunk large ears and four legs.|animal;wild;mammal;savanna|SUBJECT|mammoth;rhinoceros|topic supplement; preserve original child art
lion|Lion|Sư tử|lion;wild cat;wild animal|sư tử;chúa sơn lâm;thú hoang|Golden lion with a large brown mane framing its face.|animal;wild;mammal;savanna;mane|SUBJECT|tiger;lioness|topic supplement; preserve original child art
giraffe|Giraffe|Hươu cao cổ|giraffe;wild animal|hươu cao cổ;thú hoang|Tall yellow giraffe with orange-brown spots and a very long neck.|animal;wild;mammal;savanna;long neck|SUBJECT|long-neck dinosaur;camel|topic supplement; preserve original child art
monkey|Monkey|Khỉ|monkey;ape;wild animal|khỉ;con khỉ;thú hoang|Small brown monkey with a round face long arms and curled tail.|animal;wild;mammal;jungle;climbing|SUBJECT|lemur;bear|topic supplement; preserve original child art
tiger|Tiger|Hổ|tiger;wild cat;wild animal|hổ;cọp;thú hoang|Orange tiger with bold dark stripes across its body and face.|animal;wild;mammal;jungle;stripes|SUBJECT|lion;leopard|topic supplement; preserve original child art
bear|Bear|Gấu|bear;wild animal|gấu;con gấu;thú hoang|Round brown bear with small round ears and a pale muzzle.|animal;wild;mammal;forest|SUBJECT|teddy bear;koala|topic supplement; preserve original child art
@|topic-ocean-life-v1|ocean-life|ocean-life-atlas-v1.png|exec-188d081d-831a-48b5-a73f-6b7aae9d791b.png|2026-09-17T07:59:26Z|ocean-life-flat2d-transparent-atlas-v1
whale|Whale|Cá voi|whale;ocean animal|cá voi;cá voi lớn;sinh vật biển|Large blue whale with a rounded body and a small water spout.|animal;ocean;marine;mammal|SUBJECT|shark;dolphin|topic supplement; preserve original child art
dolphin|Dolphin|Cá heo|dolphin;ocean animal|cá heo;sinh vật biển|Blue-gray dolphin with a curved body pointed snout and dorsal fin.|animal;ocean;marine;mammal|SUBJECT|shark;whale|topic supplement; preserve original child art
sea-turtle|Sea turtle|Rùa biển|sea turtle;marine turtle;ocean animal|rùa biển;rùa;sinh vật biển|Green sea turtle with a patterned rounded shell and four flippers.|animal;ocean;marine;reptile;shell|SUBJECT|tortoise;turtle|topic supplement; preserve original child art
octopus|Octopus|Bạch tuộc|octopus;sea creature|bạch tuộc;sinh vật biển|Purple octopus with a rounded head and eight curling arms with suckers.|animal;ocean;marine;invertebrate;tentacles|SUBJECT|squid;jellyfish|topic supplement; preserve original child art
crab|Crab|Cua|crab;sea creature|cua;con cua;sinh vật biển|Red crab with a broad shell two claws and several walking legs.|animal;ocean;marine;crustacean;shore|SUBJECT|lobster;spider|topic supplement; preserve original child art
jellyfish|Jellyfish|Sứa|jellyfish;sea jelly;sea creature|sứa;con sứa;sinh vật biển|Pink jellyfish with a domed bell and several soft dangling tentacles.|animal;ocean;marine;invertebrate;tentacles|SUBJECT|octopus;umbrella|topic supplement; preserve original child art
@|topic-insects-small-creatures-v1|insects-small-creatures|insects-small-creatures-atlas-v1.png|exec-45da5e18-1b0c-42a8-8e5c-7d3e226f5c6b.png|2026-09-17T08:00:05Z|insects-small-creatures-flat2d-transparent-atlas-v1
bee|Bee|Ong|bee;honeybee;insect|ong;con ong;côn trùng|Yellow-and-black bee with two pale wings and short antennae.|animal;insect;garden;pollinator|SUBJECT|wasp;fly|topic supplement; preserve original child art
ladybug|Ladybug|Bọ rùa|ladybug;ladybird;insect|bọ rùa;côn trùng|Round red beetle with black spots and a small black head.|animal;insect;garden;beetle|SUBJECT|beetle;butterfly|topic supplement; preserve original child art
caterpillar|Caterpillar|Sâu bướm|caterpillar;larva;insect|sâu bướm;ấu trùng;côn trùng|Green caterpillar made of round body segments with tiny feet.|animal;insect;garden;larva|SUBJECT|worm;snake|topic supplement; preserve original child art
snail|Snail|Ốc sên|snail;garden snail;small animal|ốc sên;con ốc sên;động vật nhỏ|Small green snail with a spiral shell and two eye stalks.|animal;small creature;garden;mollusk;shell|SUBJECT|turtle;slug|topic supplement; preserve original child art
frog|Frog|Ếch|frog;tree frog;amphibian|ếch;con ếch;lưỡng cư|Green frog with round eyes long back legs and smooth skin.|animal;amphibian;pond;small creature|SUBJECT|toad;lizard|topic supplement; preserve original child art
dragonfly|Dragonfly|Chuồn chuồn|dragonfly;insect|chuồn chuồn;côn trùng|Slender blue dragonfly with a long body and four clear outstretched wings.|animal;insect;pond;wings|SUBJECT|butterfly;damselfly|topic supplement; preserve original child art
@|topic-music-instruments-v1|music-instruments|music-instruments-atlas-v1.png|exec-70348549-b9e9-4ec6-b0fc-a1aac21ffd2f.png|2026-09-17T08:01:04Z|music-instruments-flat2d-transparent-atlas-v1
drum|Drum|Trống|drum;music instrument|trống;nhạc cụ|Red-and-blue hand drum with a round stretched top and one mallet.|music;instrument;percussion;rhythm|PROP|tambourine;cymbal|topic supplement; preserve original child art
acoustic-guitar|Acoustic guitar|Đàn ghi-ta|guitar;acoustic guitar;music instrument|đàn ghi-ta;đàn guitar;nhạc cụ|Yellow acoustic guitar with hollow body round sound hole neck and strings.|music;instrument;string;plucked|PROP|electric guitar;ukulele|topic supplement; preserve original child art
piano-keyboard|Piano keyboard|Đàn piano|piano;keyboard;music instrument|đàn piano;đàn phím;nhạc cụ|Small blue piano keyboard with black and white keys; no written notes.|music;instrument;keyboard;piano|PROP|computer keyboard;organ|topic supplement; preserve original child art
violin|Violin|Đàn vĩ cầm|violin;fiddle;music instrument|đàn vĩ cầm;đàn violin;nhạc cụ|Orange-brown violin with four strings and a separate straight bow.|music;instrument;string;bowed|PROP|cello;guitar|topic supplement; preserve original child art
xylophone|Xylophone|Đàn phiến gỗ|xylophone;glockenspiel;music instrument|đàn phiến gỗ;đàn xylophone;nhạc cụ|Rainbow wooden bars on a frame with two short mallets.|music;instrument;percussion;classroom|PROP|piano;metal bars|topic supplement; preserve original child art
trumpet|Trumpet|Kèn trumpet|trumpet;brass instrument;music instrument|kèn trumpet;kèn đồng;nhạc cụ|Curved yellow brass trumpet with three valves and a flared bell.|music;instrument;brass;wind|PROP|trombone;saxophone|topic supplement; preserve original child art
@|topic-sports-outdoor-play-v1|sports-outdoor-play|sports-outdoor-play-atlas-v1.png|exec-8a8dacc5-81b9-4fb7-93d8-b13971467289.png|2026-09-17T08:02:10Z|sports-outdoor-play-flat2d-transparent-atlas-v1
soccer-ball|Soccer ball|Bóng đá|soccer ball;football ball;ball|bóng đá;quả bóng đá;bóng|Round white soccer ball with dark pentagonal panels.|sport;soccer;football;ball;play|PROP|basketball;volleyball|topic supplement; preserve original child art
basketball|Basketball|Bóng rổ|basketball;basketball ball;ball|bóng rổ;quả bóng rổ;bóng|Orange basketball with curved dark channel lines.|sport;basketball;ball;play|PROP|soccer ball;volleyball|topic supplement; preserve original child art
tennis-racket|Tennis racket and ball|Vợt và bóng tennis|tennis racket;tennis;racket and ball|vợt tennis;vợt và bóng tennis;quần vợt|Blue tennis racket with red grip and separate yellow tennis ball.|sport;tennis;racket;ball|PROP|badminton racket;table tennis|topic supplement; preserve original child art
badminton-racket|Badminton racket and shuttlecock|Vợt và cầu lông|badminton racket;badminton;shuttlecock|vợt cầu lông;vợt và quả cầu lông;cầu lông|Red badminton racket with a white feather shuttlecock beside it.|sport;badminton;racket;shuttlecock|PROP|tennis racket;table tennis|topic supplement; preserve original child art
jump-rope|Jump rope|Dây nhảy|jump rope;skipping rope;rope|dây nhảy;dây để nhảy;nhảy dây|One curved skipping rope with a handle at each end.|sport;play;movement;rope|PROP|climbing rope;hose|topic supplement; preserve original child art
playground-swing|Playground swing|Xích đu|playground swing;swing;playground|xích đu;đồ chơi sân chơi;sân chơi|Child-sized swing seat suspended from a simple red-and-blue frame.|sport;outdoor play;playground;movement|PROP|slide;hammock|topic supplement; preserve original child art
@|topic-construction-tools-v1|construction-tools|construction-tools-atlas-v1.png|exec-d27d2496-1a9d-4445-9de5-04ce2db8e71b.png|2026-09-17T08:02:57Z|construction-tools-flat2d-transparent-atlas-v1
excavator|Excavator|Máy xúc|excavator;digger;construction machine|máy xúc;xe xúc đất;máy công trình|Yellow tracked excavator with a cab articulated boom and digging bucket.|construction;vehicle;machine;digging|SUBJECT|crane;backhoe|topic supplement; preserve original child art
tower-crane|Tower crane|Cần cẩu tháp|tower crane;construction crane;crane|cần cẩu tháp;cẩu xây dựng;cần cẩu|Tall yellow tower crane with horizontal boom hanging hook and base.|construction;machine;lifting;building|SUBJECT|excavator;derrick|topic supplement; preserve original child art
dump-truck|Dump truck|Xe ben|dump truck;tipper truck;construction vehicle|xe ben;xe tải ben;xe công trình|Red-and-yellow dump truck with large raised cargo bed and four wheels.|construction;vehicle;truck;hauling|SUBJECT|garbage truck;delivery truck|topic supplement; preserve original child art
hard-hat|Safety hard hat|Mũ bảo hộ|hard hat;safety helmet;construction hat|mũ bảo hộ;mũ công trình;mũ an toàn|Single yellow protective hard hat with a short brim and no logo.|construction;safety;clothing;worker|PROP|baseball cap;helmet|topic supplement; preserve original child art
hammer|Hammer|Búa|hammer;hand tool|búa;dụng cụ cầm tay|Single metal claw hammer with a short orange handle.|construction;tool;hand tool;repair|PROP|mallet;axe|topic supplement; preserve original child art
wrench|Wrench|Cờ lê|wrench;spanner;hand tool|cờ lê;mỏ lết;dụng cụ cầm tay|Single gray open-ended wrench with two different-sized jaws.|construction;tool;hand tool;repair|PROP|pliers;screwdriver|topic supplement; preserve original child art
@|topic-home-kitchen-v1|home-kitchen|home-kitchen-atlas-v1.png|exec-895c7346-a5e7-4412-917d-44af1a2aba09.png|2026-09-17T08:03:52Z|home-kitchen-flat2d-transparent-atlas-v1
bed|Bed|Giường|bed;bedroom furniture|giường;đồ nội thất phòng ngủ|Single wooden bed with a white pillow and blue blanket.|home;bedroom;furniture;sleep|PROP|sofa;crib|topic supplement; preserve original child art
table-lamp|Table lamp|Đèn bàn|table lamp;lamp;light|đèn bàn;đèn;đèn ngủ|Yellow-shaded lamp on a small dark base; one standalone object.|home;bedroom;lighting;furniture|PROP|ceiling light;street lamp|topic supplement; preserve original child art
sofa|Sofa|Ghế sofa|sofa;couch;living room furniture|ghế sofa;ghế dài;đồ nội thất phòng khách|Green two-seat sofa with cushions and short wooden legs.|home;living room;furniture;seating|PROP|bed;armchair|topic supplement; preserve original child art
cooking-pot|Cooking pot with lid|Nồi có nắp|cooking pot;pot with lid;kitchen cookware|nồi;nồi có nắp;đồ nấu ăn|Yellow cooking pot with two side handles and a fitted lid.|home;kitchen;cookware;cooking|PROP|saucepan;kettle|topic supplement; preserve original child art
cup-spoon|Cup and spoon|Cốc và thìa|cup and spoon;tea cup;kitchen tableware|cốc và thìa;tách;đồ dùng ăn uống|One blue cup with a small spoon beside it; no label or text.|home;kitchen;tableware;drinking|PROP|bowl;mug|topic supplement; preserve original child art
sandwich-plate|Sandwich on a plate|Bánh mì kẹp trên đĩa|sandwich;plate with sandwich;food plate|bánh mì kẹp;đĩa bánh mì;đồ ăn|Simple sandwich with lettuce and tomato on one round plate.|home;kitchen;food;meal;tableware|PROP|burger;toast|topic supplement; preserve original child art
@|topic-clothing-accessories-v1|clothing-accessories|clothing-accessories-atlas-v1.png|exec-ad147f6f-1fc1-4de9-bced-4c11534466e4.png|2026-09-17T08:05:03Z|clothing-accessories-flat2d-transparent-atlas-v1
t-shirt|T-shirt|Áo thun|t-shirt;shirt;top|áo thun;áo phông;áo|Blue short-sleeved t-shirt with one simple star and no brand mark.|clothing;apparel;wearing;top|PROP|sweater;uniform|topic supplement; preserve original child art
rain-boots|Rain boots|Ủng đi mưa|rain boots;rubber boots;wellies|ủng đi mưa;ủng cao su;ủng|Pair of yellow rain boots with blue cuffs and simple white spots.|clothing;footwear;rain;accessory|PROP|snow boots;shoes|topic supplement; preserve original child art
cap|Baseball-style cap|Mũ lưỡi trai|cap;baseball cap;hat|mũ lưỡi trai;nón;mũ|Blue baseball-style cap with a curved brim and no logo.|clothing;headwear;accessory;wearing|PROP|hard hat;sun hat|topic supplement; preserve original child art
backpack|Backpack|Ba lô|backpack;school bag;rucksack|ba lô;cặp sách;balo|Small green-and-orange backpack with shoulder straps front pocket and zipper pull.|clothing;school;bag;accessory|PROP|handbag;suitcase|topic supplement; preserve original child art
eyeglasses|Round eyeglasses|Kính mắt gọng tròn|eyeglasses;glasses;spectacles|kính mắt;kính gọng tròn;mắt kính|Pair of round red eyeglasses with two clear lenses and side arms.|clothing;accessory;vision;wearing|PROP|sunglasses;binoculars|topic supplement; preserve original child art
scarf|Scarf|Khăn quàng|scarf;winter scarf|khăn quàng;khăn choàng cổ;khăn len|Long red-and-yellow striped scarf with short fringes at both ends.|clothing;accessory;winter;wearing|PROP|necktie;ribbon|topic supplement; preserve original child art
@|topic-celebrations-seasons-creative-play-v1|celebrations-seasons-creative-play|celebrations-seasons-creative-play-atlas-v1.png|exec-03fd31d6-95f8-43b6-bd16-7ba826200dc8.png|2026-09-17T08:05:52Z|celebrations-seasons-creative-play-flat2d-transparent-atlas-v1
birthday-cake|Birthday cake with candle|Bánh sinh nhật có nến|birthday cake;cake;birthday|bánh sinh nhật;bánh kem;sinh nhật|Round frosted birthday cake with colorful sprinkles and one lit candle.|Bánh sinh nhật tròn phủ kem có hạt màu và một cây nến đang thắp.|celebration;birthday;party;food|PROP|cupcake;pie|topic supplement; preserve original child art
balloons|Three balloons|Ba quả bóng bay|balloons;balloon cluster;party balloons|bóng bay;ba quả bóng;bóng sinh nhật|Cluster of three red blue and yellow balloons tied to one bow.|Cụm ba bóng bay đỏ xanh vàng buộc chung vào một nơ.|celebration;party;decoration;balloon|PROP|bubbles;ornament|topic supplement; preserve original child art
gift-box|Wrapped gift box|Hộp quà gói nơ|gift;present;wrapped gift box|quà tặng;hộp quà;quà sinh nhật|One blue wrapped present with a yellow ribbon and bow.|Một hộp quà màu xanh được gói bằng ruy-băng vàng và thắt nơ.|celebration;birthday;gift;party|PROP|box;parcel|topic supplement; preserve original child art
party-hat|Party hat|Mũ dự tiệc|party hat;birthday hat;cone hat|mũ dự tiệc;mũ sinh nhật;mũ chóp|Colorful cone-shaped party hat with a pom-pom at the tip.|Một chiếc mũ tiệc hình chóp nhiều màu có chùm bông ở đỉnh.|celebration;birthday;party;clothing|PROP|wizard hat;traffic cone|topic supplement; preserve original child art
autumn-leaf|Autumn leaf|Lá mùa thu|autumn leaf;fall leaf;season leaf|lá mùa thu;lá vàng mùa thu;mùa thu|Large orange maple-like leaf with visible branching veins.|Chiếc lá lớn màu cam giống lá phong có các gân phân nhánh rõ.|season;autumn;nature;leaf|PROP|flower;tree|topic supplement; preserve original child art
paint-palette-brush|Paint palette and brush|Bảng pha màu và cọ vẽ|paint palette;palette and brush;painting|bảng pha màu;bảng màu và cọ;vẽ tranh|Wooden painter palette with several paint dabs and one brush.|Bảng pha màu bằng gỗ có vài chấm màu và một cây cọ vẽ.|creative play;art;painting;craft|PROP|color sorting tray;makeup palette|topic supplement; preserve original child art
