activity_id,version,age_band,area,title_vi,objective_ids,review_status,production_eligible
ACT-0029,1,3-6,practical_life,Chuyển vật bằng kẹp,OBJ_PRACTICAL_LIFE_SEQUENCE,PENDING_OWNER_REVIEW,false
ACT-0030,1,3-6,practical_life,Khung cài nút,OBJ_INDEPENDENCE_SELF_CARE,PENDING_OWNER_REVIEW,false
ACT-0031,1,3-6,practical_life,Khung kéo khóa,OBJ_INDEPENDENCE_SELF_CARE,PENDING_OWNER_REVIEW,false
ACT-0032,1,3-6,practical_life,Rửa tay theo chuỗi đầy đủ,OBJ_PRACTICAL_LIFE_SEQUENCE,PENDING_OWNER_REVIEW,false
ACT-0033,1,3-6,practical_life,Sắp bàn cho một người,OBJ_ORDER_GRACE_COURTESY,PENDING_OWNER_REVIEW,false
ACT-0034,1,3-6,practical_life,Cắm hoa đơn giản,OBJ_ORDER_GRACE_COURTESY,PENDING_OWNER_REVIEW,false
ACT-0035,1,3-6,practical_life,Quét khu vực có đánh dấu,OBJ_ORDER_GRACE_COURTESY,PENDING_OWNER_REVIEW,false
ACT-0036,1,3-6,sensorial,Tháp hồng,OBJ_SENSORIAL_DISCRIMINATION,PENDING_OWNER_REVIEW,false
ACT-0037,1,3-6,sensorial,Cầu thang nâu,OBJ_SENSORIAL_DISCRIMINATION,PENDING_OWNER_REVIEW,false
ACT-0038,1,3-6,sensorial,Gậy đỏ,OBJ_SENSORIAL_DISCRIMINATION,PENDING_OWNER_REVIEW,false
ACT-0039,1,3-6,sensorial,Phân cấp bảng màu,OBJ_SENSORIAL_DISCRIMINATION,PENDING_OWNER_REVIEW,false
ACT-0040,1,3-6,sensorial,Ghép ống âm thanh,OBJ_SENSORIAL_DISCRIMINATION,PENDING_OWNER_REVIEW,false
ACT-0041,1,3-6,sensorial,Bảng nhám và mịn,OBJ_SENSORIAL_DISCRIMINATION,PENDING_OWNER_REVIEW,false
ACT-0042,1,3-6,sensorial,Khối hình học,OBJ_SENSORIAL_DISCRIMINATION,PENDING_OWNER_REVIEW,false
ACT-0043,1,3-6,language,Chữ cái nhám,OBJ_EARLY_WRITING,PENDING_OWNER_REVIEW,false
ACT-0044,1,3-6,language,Bảng chữ cái rời,OBJ_EARLY_WRITING,PENDING_OWNER_REVIEW,false
ACT-0045,1,3-6,language,Hộp đồ vật đọc âm vị,OBJ_EARLY_READING,PENDING_OWNER_REVIEW,false
ACT-0046,1,3-6,language,Khung kim loại luyện nét,OBJ_EARLY_WRITING,PENDING_OWNER_REVIEW,false
ACT-0047,1,3-6,mathematics,Gậy số,OBJ_NUMBER_QUANTITY_PLACE_VALUE,PENDING_OWNER_REVIEW,false
ACT-0048,1,3-6,mathematics,Chữ số nhám,OBJ_NUMBER_QUANTITY_PLACE_VALUE,PENDING_OWNER_REVIEW,false
ACT-0049,1,3-6,mathematics,Hộp que tính,OBJ_NUMBER_QUANTITY_PLACE_VALUE,PENDING_OWNER_REVIEW,false
ACT-0050,1,3-6,mathematics,Hệ thập phân hạt vàng,OBJ_NUMBER_QUANTITY_PLACE_VALUE,PENDING_OWNER_REVIEW,false
ACT-0051,1,6-9,cosmic_education,Câu chuyện về vũ trụ,OBJ_COSMIC_INTERCONNECTION,PENDING_OWNER_REVIEW,false
ACT-0052,1,6-9,cosmic_education,Mô hình tỉ lệ Hệ Mặt Trời,OBJ_COSMIC_INTERCONNECTION,PENDING_OWNER_REVIEW,false
ACT-0053,1,6-9,science,Mô hình các lớp Trái Đất,OBJ_SCIENTIFIC_OBSERVATION,PENDING_OWNER_REVIEW,false
ACT-0054,1,6-9,cultural_studies,Địa hình đất và nước,OBJ_SCIENTIFIC_OBSERVATION,PENDING_OWNER_REVIEW,false
ACT-0055,1,6-9,science,Quan sát các bộ phận của cây,OBJ_SCIENTIFIC_OBSERVATION,PENDING_OWNER_REVIEW,false
ACT-0056,1,6-9,science,Phân loại động vật,OBJ_SCIENTIFIC_OBSERVATION,PENDING_OWNER_REVIEW,false
ACT-0057,1,6-9,science,Xây lưới thức ăn,OBJ_COSMIC_INTERCONNECTION,PENDING_OWNER_REVIEW,false
ACT-0058,1,6-9,science,Mô hình vòng tuần hoàn nước,OBJ_SCIENTIFIC_OBSERVATION,PENDING_OWNER_REVIEW,false
ACT-0059,1,6-9,science,So sánh ba trạng thái vật chất,OBJ_SCIENTIFIC_OBSERVATION,PENDING_OWNER_REVIEW,false
ACT-0060,1,6-9,science,Khám phá máy cơ đơn giản,OBJ_MATHEMATICAL_REASONING,PENDING_OWNER_REVIEW,false
ACT-0061,1,6-9,mathematics,Nhân với trò chơi tem,OBJ_MATHEMATICAL_REASONING,PENDING_OWNER_REVIEW,false
ACT-0062,1,6-9,mathematics,Chia dài bằng vật liệu,OBJ_MATHEMATICAL_REASONING,PENDING_OWNER_REVIEW,false
ACT-0063,1,6-9,mathematics,Phân số tương đương,OBJ_MATHEMATICAL_REASONING,PENDING_OWNER_REVIEW,false
ACT-0064,1,6-9,mathematics,Bảng số thập phân,OBJ_MATHEMATICAL_REASONING,PENDING_OWNER_REVIEW,false
ACT-0065,1,6-9,mathematics,Đo và phân loại góc,OBJ_MATHEMATICAL_REASONING,PENDING_OWNER_REVIEW,false
ACT-0066,1,6-9,mathematics,Khám phá diện tích tương đương,OBJ_MATHEMATICAL_REASONING,PENDING_OWNER_REVIEW,false
ACT-0067,1,6-9,language,Phân tích từ loại bằng ký hiệu,OBJ_LANGUAGE_ANALYSIS,PENDING_OWNER_REVIEW,false
ACT-0068,1,6-9,language,Phân tích thành phần câu,OBJ_LANGUAGE_ANALYSIS,PENDING_OWNER_REVIEW,false
ACT-0069,1,6-9,language,Khảo sát tiền tố và hậu tố,OBJ_LANGUAGE_ANALYSIS,PENDING_OWNER_REVIEW,false
ACT-0070,1,6-9,language,Báo cáo nghiên cứu ngắn,OBJ_LANGUAGE_ANALYSIS,PENDING_OWNER_REVIEW,false
ACT-0071,1,6-9,cosmic_education,Dòng thời gian sự sống,OBJ_COSMIC_INTERCONNECTION,PENDING_OWNER_REVIEW,false
ACT-0072,1,6-9,cultural_studies,Bản đồ châu lục và quốc gia,OBJ_HUMANITIES_RESEARCH,PENDING_OWNER_REVIEW,false
ACT-0073,1,6-9,social_studies,Chuẩn bị phỏng vấn người làm việc cộng đồng,OBJ_SOCIAL_RESPONSIBILITY,PENDING_OWNER_REVIEW,false
ACT-0074,1,6-9,practical_life,Lập kế hoạch công việc tuần,OBJ_SOCIAL_RESPONSIBILITY,PENDING_OWNER_REVIEW,false
ACT-0075,1,6-9,social_studies,Vòng tròn hòa bình giải quyết xung đột,OBJ_SOCIAL_RESPONSIBILITY,PENDING_OWNER_REVIEW,false
ACT-0076,1,9-12,mathematics,Lũy thừa và mẫu hình,OBJ_ADVANCED_MATHEMATICS,PENDING_OWNER_REVIEW,false
ACT-0077,1,9-12,mathematics,Căn bậc hai và căn bậc ba,OBJ_ADVANCED_MATHEMATICS,PENDING_OWNER_REVIEW,false
ACT-0078,1,9-12,mathematics,Cân bằng phương trình,OBJ_ADVANCED_MATHEMATICS,PENDING_OWNER_REVIEW,false
ACT-0079,1,9-12,mathematics,Tỉ lệ qua công thức,OBJ_ADVANCED_MATHEMATICS,PENDING_OWNER_REVIEW,false
ACT-0080,1,9-12,mathematics,Phần trăm trong ngân sách,OBJ_ADVANCED_MATHEMATICS,PENDING_OWNER_REVIEW,false
ACT-0081,1,9-12,mathematics,"Chuyển đổi phân số, thập phân, phần trăm",OBJ_ADVANCED_MATHEMATICS,PENDING_OWNER_REVIEW,false
ACT-0082,1,9-12,mathematics,Dựng hình bằng compa và thước,OBJ_ADVANCED_MATHEMATICS,PENDING_OWNER_REVIEW,false
ACT-0083,1,9-12,mathematics,Khám phá định lý Pythagore,OBJ_ADVANCED_MATHEMATICS,PENDING_OWNER_REVIEW,false
ACT-0084,1,9-12,mathematics,Đo và tính thể tích,OBJ_ADVANCED_MATHEMATICS,PENDING_OWNER_REVIEW,false
ACT-0085,1,9-12,mathematics,Khảo sát và mô tả dữ liệu,OBJ_ADVANCED_MATHEMATICS,PENDING_OWNER_REVIEW,false
ACT-0086,1,9-12,science,Quan sát tế bào bằng kính hiển vi,OBJ_SCIENTIFIC_INQUIRY,PENDING_OWNER_REVIEW,false
ACT-0087,1,9-12,science,Xây khóa phân loại,OBJ_SCIENTIFIC_INQUIRY,PENDING_OWNER_REVIEW,false
ACT-0088,1,9-12,science,Khảo sát hệ sinh thái tại chỗ,OBJ_SCIENTIFIC_INQUIRY,PENDING_OWNER_REVIEW,false
ACT-0089,1,9-12,science,Tách hỗn hợp an toàn,OBJ_SCIENTIFIC_INQUIRY,PENDING_OWNER_REVIEW,false
ACT-0090,1,9-12,science,Theo dõi truyền năng lượng,OBJ_SCIENTIFIC_INQUIRY,PENDING_OWNER_REVIEW,false
ACT-0091,1,9-12,science,Mô hình pha Mặt Trăng,OBJ_COSMIC_INTERCONNECTION,PENDING_OWNER_REVIEW,false
ACT-0092,1,9-12,cosmic_education,Dòng thời gian địa chất,OBJ_HUMANITIES_RESEARCH,PENDING_OWNER_REVIEW,false
ACT-0093,1,9-12,cultural_studies,Nghiên cứu nền văn minh cổ,OBJ_HUMANITIES_RESEARCH,PENDING_OWNER_REVIEW,false
ACT-0094,1,9-12,cultural_studies,Lập bản đồ di cư và thương mại,OBJ_HUMANITIES_RESEARCH,PENDING_OWNER_REVIEW,false
ACT-0095,1,9-12,social_studies,Mô phỏng quyết định cộng đồng,OBJ_HUMANITIES_RESEARCH,PENDING_OWNER_REVIEW,false
ACT-0096,1,9-12,social_studies,Mô phỏng doanh nghiệp lớp học,OBJ_PROJECT_SERVICE_LEADERSHIP,PENDING_OWNER_REVIEW,false
ACT-0097,1,9-12,language,Viết lập luận dựa trên bằng chứng,OBJ_COMMUNICATION_ARGUMENTATION,PENDING_OWNER_REVIEW,false
ACT-0098,1,9-12,language,So sánh hai tác phẩm,OBJ_COMMUNICATION_ARGUMENTATION,PENDING_OWNER_REVIEW,false
ACT-0099,1,9-12,language,Dự án nghiên cứu độc lập,OBJ_PROJECT_SERVICE_LEADERSHIP,PENDING_OWNER_REVIEW,false
ACT-0100,1,9-12,social_studies,Lập kế hoạch dự án phục vụ cộng đồng,OBJ_PROJECT_SERVICE_LEADERSHIP,PENDING_OWNER_REVIEW,false
